name,registry_id,hq,extra
DAMAR FINANCING CORP.,270,Philippines,
DAVAO A+ CREDIT CORP.,231,Philippines,
DBP LEASING CORPORATION (Formerly: NDC MARITIME LEASING CORPORATION) Formerly: DBP MARITIME LEASING CORPORATION,975,Philippines,
DDC FINANCE CORPORATION,287,Philippines,
DDPKI FINANCING CORPORATION,936,Philippines,
DES FINANCING CORP.,217,Philippines,
Dexin Financing Inc.,1262,Philippines,
DIAMOND FINANCE CORP.,130,Philippines,
"DIASTARS FINANCE, INC.",1138,Philippines,
Digido Finance Corp.,1272,Philippines,
DIMINISHING FINANCING CORPORATION,539,Philippines,
DIPOLOG NJF FINANCING CORPORATION,739,Philippines,
DKFINANCIAL CORP.,1203,Philippines,
DL ROSALUNA FINANCE CORPORATION,754,Philippines,
DLII LEASING AND FINANCE CORP.,615,Philippines,
DPS FINANCE CORPORATION,719,Philippines,
DUEKSAM CAPITAL CORPORATION,931,Philippines,
DYNA SOURCE FINANCE CORP.,300,Philippines,
DYNA WEALTH FINANCE CORP.,303,Philippines,
DYNASTY FINANCE CORP.,164,Philippines,
DYNAWEST FINANCE CORP.,281,Philippines,
DYNO FINANCE CORP,166,Philippines,
"E-CASH & PAYLITE FINANCING, INC.",940,Philippines,
"E.T.C. FINANCING , INC.",1016,Philippines,
EAGLE FINANCE CORP.,65,Philippines,
EAST OCEANIC LEASING & FINANCE CORP.,152,Philippines,
EAST WEST LEASING AND FINANCE CORPORATION,1123,Philippines,
EASY PAY FINANCE CORPORATION,711,Philippines,
"eBIZ FINANCIAL SERVICES, INC.",899,Philippines,
ECLAIRE FINANCE CORP.,407,Philippines,
ECLOF FINANCE CORPORATION,1211,Philippines,
ECredit Finance Inc.,1255,Philippines,
EDUCREDIT FINANCE CORPORATION,1212,Philippines,
"EISTRUP FINANCIAL SERVICES, INC.",862,Philippines,
EJS FINANCE CORP.,398,Philippines,
"EMDEES FINANCING COMPANY, INC. (Change: EMDEES LENDING CORPORATION)",554,Philippines,
EMERALD FINANCE CORP.,204,Philippines,
EMERALD QUICKLOAN AND FINANCING INC.,1182,Philippines,
ENCORE LEASING & FINANCE CORP.,1096,Philippines,
EQUITABLE LEASING CORP.,82,Philippines,
EQUITY FINANCING CORPORATION,922,Philippines,
ER MARTINEZ FINANCING CORP.,348,Philippines,
ESNA FINANCING AND INV. CORP.,128,Philippines,
ESPERANZA GUADALUPE FINANCE INC.,1287,Philippines,
ESPERANZA LOYOLA FINANCE CORPORATION,1289,Philippines,
"ESQUIRE FINANCING, INC.",1027,Philippines,
"ESQUIRE INTERNATIONAL FINANCING, INC.",339,Philippines,
ETJ FINANCE CORP.,404,Philippines,
EVER LUCKY FINANCIAL CORP.,1012,Philippines,
EVER READY CREDIT AND FINANCE CORP.,1087,Philippines,
EVERGREEN FINANCE (ILOILO) INC.,14,Philippines,
"EVERSTRONG FINANCING, INC.",527,Philippines,
EZYCASH FINANCING INC.,F-23-0063-44,Philippines,
FAMA GLOBAL FINANCE AND LEASING CORPORATION,1157,Philippines,
FAREAST FINANCIALS INCORPORATED,786,Philippines,
FAST WAY FINANCE & CREDIT CORP.,CEO-1004,Philippines,
FASTCASH FINANCE COMPANY INC.,1149,Philippines,
FASTWAY FINANCE & CREDIT CORPORATION,1004,Philippines,
FCH FINANCE CORPORATION,934,Philippines,
FELIPAY FINANCIAL CO. LTD. INC.,1290,Philippines,
"FEMA FINANCING CO., INC.",701,Philippines,
"FG FINANCIAL CO., INC.",229,Philippines,
"FHL Financing Company, Inc.",F-220038-29,Philippines,
"FHL Financing Company, Inc.",F-220038-29,Philippines,
FIDELITY FINANCE Corporation,1005,Philippines,
FIL-MINDANAO FINANCE CORPORATION,1205,Philippines,
Fil-Visayas Finance Corp.,1242,Philippines,
FILCREDIT FINANCE & CAPITAL DEVELOPMENT CORP.,33,Philippines,
FILIPINAS INTEGRATED LINK FIN. CORP.,352,Philippines,
FILIPINO FINANCIAL CORP.,85,Philippines,
FINACCEL FINANCING TECHNOLOGY PHILIPPINES INC.,1209,Philippines,
FINACOR FINANCE CORP.,183,Philippines,
FINANCE TECHNOLOGIES INC.,1200,Philippines,
"FINANCIAL FACTORS, INC.",117,Philippines,
FINANCIAL WORLD CORPORATION,482,Philippines,
FINANCIERA DE SAN MIGUEL CORPORATION,1021,Philippines,
FINNOV Financing Philippines Incorporated Doing business under the names and styles of Bagsik; Kabuhi; Factum and Alapaan and Ionic.,1276,Philippines,
"FINSHELL FINANCING, INC.",1227,Philippines,
"FINTOUCH FINANCING, INC.",1226,Philippines,
FIRST CATANDUANES CREDIT CORPORATION,627,Philippines,
FIRST CHOICE FINANCE - FCFC CORPORATION,1117,Philippines,
FIRST CIRCLE GROWTH FINANCE CORP.,1108,Philippines,
FIRST DAVAO FINANCING CORPORATION (Change: FIRST DAVAO LENDING CORP.),560,Philippines,
"FIRST DIGITAL FINANCE CORPORATION DOING BUSINESS UNDER THE NAMES AND STYLES OF FDFC, BALIKBAYAD, LOAN RANGER AND BILLEASE",1101,Philippines,
FIRST FILIPINAS CAPITAL CORP.,136,Philippines,
FIRST FINANCE CORP. OF CADIZ,126,Philippines,
FIRST GRADE FINANCE INCORPORATION,987,Philippines,
"FIRST INDUSTRIAL FINANCE CO., INC (FOREMERLY: FIRST INDUSTRIAL CREDIT CO., INC.)",1308,Philippines,
"FIRST ORIENTAL MINDORO FINANCING COMPANY (FOMFC), INC.",545,Philippines,
FIRST PRIORITY FINANCING & INVESTMENT CORP.,458,Philippines,
FIRST PROVINCIAL FINANCE CORP.,101,Philippines,
FIRST QUADCOR FINANCE CORP.,56,Philippines,
FIRST QUANTUM FINANCING CORPORATION,1195,Philippines,
FIRST SOUTHERN ISLAND FINANCE CORPORATION,971,Philippines,
FIRST STANDARD FINANCE CORPORATION,954,Philippines,
FIRST UNITED FAMILY FINANCE CORPORATION,620,Philippines,
FIRST UNITED FINANCE & LEASING CORP.,202,Philippines,
FIRST VIRAC FINANCING INC.,F-21-0016-67,Philippines,
FISK FINANCING CORP. (FORMERLY:ENBC LENDING INVESTOR INC.),1234,Philippines,
"FIVE (5) J FINANCING CO., INC.",764,Philippines,
"FIVE STAR FINANCE, INC.",746,Philippines,
FLASH FINANCE CORP.,801,Philippines,
FLASH MONEY (PH) FINANCING COMPANY INC.,F-21-0008-74,Philippines,
FLEXI FINANCE ASIA INC.,1104,Philippines,
FLOARAN FINANCING CORP.,340,Philippines,
FMS Financing and Leasing Corporation,F-21-0001-97,Philippines,
FONTAINE BLEU FINANCE & REALTY CORP.,368,Philippines,
FOREFRONT ALLIANCE LEASING AND FINANCE CORP.,1168,Philippines,
FORTUNE FINANCING CORP.,1215,Philippines,
FOUR V'S CREDIT CORP.,314,Philippines,
"FREEDOM AND EQUITY FINANCE (FreeFin), INC.",1286,Philippines,
FREND'S FINANCING CORP.,309,Philippines,
FREWILL FINANCE CORPORATION,641,Philippines,
FRIENDLY CREDITCARE INCORPORATED,847,Philippines,
FTB FINANCE CORP.,312,Philippines,
FTC LEASING AND FINANCE CORPORATION,978,Philippines,
FTH FINANCE CORPORATION,1106,Philippines,
FUNDLINE FINANCE CORPORATION (DOING BUSINESS UNDER THE FOLLOWING BUSINESS NAMES: FUNDLINE; FUNDLIFE; FUNDLITE AND FUNDCYCLE),995,Philippines,
G & H FINANCE CORPORATION (Change: G & H Lending corporation),911,Philippines,
"G CAPITAL FINANCE, INC.",1068,Philippines,
G2M Financing Corporation,F-22-0044-95,Philippines,
G2M Financing Corporation,F-22-0044-95,Philippines,
GDR FINANCIAL SOLUTIONS INCORPORATED,1134,Philippines,
"GEMSTAR FINANCING CO., INC.",508,Philippines,
GENESIS CAPITAL FINANCING INC.,F-21-0011-96,Philippines,
GENEVA FINANCE CORPORATION,1265,Philippines,
GENIUS FINANCING CORPORATION,489,Philippines,
"GENSAN FINANCING HOUSE, INC.",279,Philippines,
GHL PHILIPPINES FINANCING SERVICES INC.,1261,Philippines,
GIECO RESOURCES AND FINANCE CORPORATION,1081,Philippines,
GINTONG GABAY FINANCE CORPORATION,836,Philippines,
GINTONG KINABUKASAN FINANCE INC.,F-23-0060-34,Philippines,
