name,registry_id,hq,extra
AKF LENDING CORPORATION,L-22-0284-83,Philippines,
AKHEELA LENDING INVESTORS CORPORATION,1176,Philippines,
AKISADA LENDING CORPORATION,755,Philippines,
AKKUN Lending Corporation,2762,Philippines,
AKLIA LENDING INVESTOR AND TRADING CORP.,2545,Philippines,
AKM LENDING CORP.,2810,Philippines,
AKR SINGH LENDING INVESTOR INC.,2588,Philippines,
"AKRAM LENDING SERVICES, INC.",615,Philippines,
AKSYON AGAD CREDIT & LENDING INC.,1978,Philippines,
AKUESH LENDING CORPORATION,2515,Philippines,
AL-RITZ CREDIT & LOAN CORPORATION,796,Philippines,
ALA LENDING INVESTOR CORP.,1516,Philippines,
Alalay sa Bayan Lending Corporation doing business under the name and style of ASB Lending Corporation,L-22-0241-39,Philippines,
ALANO & SONS CREDIT CORPORATION,567,Philippines,
ALAY PUSO LENDING CORP.,252,Philippines,
Albonia FastBank Lending Inc.,3081,Philippines,
ALBRY LENDING INVESTORS INC.,2562,Philippines,
ALBYNA'S LENDING CORPORATION,2211,Philippines,
ALCORE LENDING INVESTOR CORPORATION,979,Philippines,
ALDERWOD LENDING CORPORATION,2672,Philippines,
"ALECANCHU LENDING CO., INC.",1651,Philippines,
ALENSON LENDING INVESTOR INC.,1477,Philippines,
Alexandrei 18 Lending Incorporated,L-22-0291-42,Philippines,
ALFRED BONOSTRO RECOSOSA LENDING INCORPORATED,3151,Philippines,
ALICDAN LENDING CORPORATION,163,Philippines,
"ALIWAL LENDING COMPANY, INC.",2170,Philippines,
"ALL ABOUT CASH, INC.",620,Philippines,
ALL WOMEN LENDING INVESTORS INC.,1792,Philippines,
ALLAN & LOVELY CREDIT & LOANS CORP.,1709,Philippines,
ALLTRUST LENDING CORPORATION,795,Philippines,
ALLWAYS D'BEST LENDING CORPORATION,L-23-0399-62,Philippines,
ALMAJEET LENDING AND TRADING INC.,2437,Philippines,
ALMARROSE LENDING CORPORATION,797,Philippines,
"ALMCOX CREDIT SERVICES, INC.",1216,Philippines,
ALON CAPITAL LENDING CORPORATION,L-21-0056-23,Philippines,
ALPAMAYO LEN DING INC.,2925,Philippines,
ALPHA - Q LENDING CORP.,L-23-0430-70,Philippines,
ALPHA BUSINESS LENDING CORPORATION,L-21-0076-31,Philippines,
ALPHA DIAMOND LENDING CORP.,CEO-030,Philippines,
Alpha Source Lending Inc.,2959,Philippines,
ALPHA WAKYO LENDING CORPORATION,1261,Philippines,
Alphage X Micro Lending Corporation,2914,Philippines,
ALPHATRUST LENDING CORPORATION,3240,Philippines,
ALPINE LOAN & CREDIT CORP.,1114,Philippines,
ALSAM LENDING SERVICES INC.,3336,Philippines,
ALSON LENDING CORPORATION,L-23-0408-93,Philippines,
"ALTERNATIVE LENDING SOLUTIONS, INC.",1121,Philippines,
ALTFUND LENDING CORPORATION,2349,Philippines,
ALTIUS CREDIT CORPORATION,3493,Philippines,
ALTON LENDING CO. INC.,1743,Philippines,
ALV Support Lending Corporation,L-22-0258-49,Philippines,
ALVAREZ-DIO LENDING INC.,2063,Philippines,
ALYATTES AND MEDID (AM) LENDIGN CORP.,2746,Philippines,
AMAN DIP LENDING AND TRADING CORPORATION,2135,Philippines,
AMARA LENDING CORPORATION,L-23-0433-75,Philippines,
AMARDAS LENDING CORP.,2504,Philippines,
AMARILLAS MICRO-LENDING CORPORATION,2516,Philippines,
AMAROSA LENDING CORP.,2352,Philippines,
AMAZING LENDING CORP.,L-23-0362-56,Philippines,
AMAZINGSUPPORT LENDING CORPORATION,450,Philippines,
AMBER STAR LENDING CORPORATION,L-21-0046-55,Philippines,
AMECAN LENDING CORPORATION,L-22-0304-15,Philippines,
AMF-NR LENDING CORP.,832,Philippines,
AMICIS LENDING CORP.,L-22-0321-87,Philippines,
AMIHAN LENDING INVESTOR CORP.,1175,Philippines,
AMITASHWAR LENDING & TRADING CORPORATION,315,Philippines,
AMNISH LENDING AND TRADING CORP. (FORMERLY: AMNISH TRADING CORPORATION),3494,Philippines,
AMNNAF LENDING CORPORATION,CEO-109,Philippines,
AMOLIKA-AMAYA PRINCESS LENDING AND TRADING CORP.,2165,Philippines,
AMORACE LENDING CORPORATION,1693,Philippines,
AMOS CHOHAN LENDING CORPORATION,2280,Philippines,
AMPARADO LENDING INC.,2128,Philippines,
AMSONS LENDING AND TRADING CORP.,2270,Philippines,
AMSTEEL MONEY LENDING INC.,2645,Philippines,
"AN-AN, BEBE AND CELIO LENDING Inc.",3107,Philippines,
Anabu Coastal Lending Inc.,2852,Philippines,
ANAYA LENDING INVESTOR CORP.,L-23-0431-37,Philippines,
ANCHORAGE LENDING CORPORATION,3314,Philippines,
ANCHORBAY CREDIT INC.,1781,Philippines,
ANCOR CREDIT AND LOAN CORPORATION,649,Philippines,
"ANCUP LENDING INVESTORS, INC.",669,Philippines,
ANDROMEDA LENDING CORP.,2901,Philippines,
ANECHKA LENDING CORP.,L-22-0131-49,Philippines,
ANGAT KABUHAYAN MICRO LENDING CORPORATION,L-22-0309-98,Philippines,
ANGEL MJ LENDING Corporation,2907,Philippines,
ANGEL'S MIND LENDING SERVICES CORPORATION,782,Philippines,
ANGELES CITY NAVDEEP MALHI LENDING CORP.,1601,Philippines,
"ANGELYN SMALL LOAN, INC.",952,Philippines,
ANIZELS LENDING CORPORATION,,Philippines,
ANKUSH SAGAR TALWAR LENDING AND TRADING INC.,2228,Philippines,
ANMILA LENDING CORPORATION,768,Philippines,
ANMOL BUTTER LENDING AND TRADING CORP.,2454,Philippines,
ANNBIENCE LENDING VENTURES CORP.,2758,Philippines,
ANNECY LENDING CORPORATION,179,Philippines,
ANTONIO SINGSON LENDING COMPANY,L-22-0253-64,Philippines,
Anytime Lending Corporation,,Philippines,
APAJ LENDING INVESTOR CORPORATION,1505,Philippines,
APB LENDING INVESTOR CORP.,1487,Philippines,
APB LOANS AND CREDIT CORPORATION,1172,Philippines,
"APEC LENDING INVESTORS, INC.",935,Philippines,
APH CREDIT LENDING CORPORATION,3487,Philippines,
APLUS LENDING CORPORATION,1019,Philippines,
APOLLO 14 LENDING INC.,3284,Philippines,
APP LOAN CENTER CORPORATION,008,Philippines,
Appex GB Lending Inc.,3187,Philippines,
APPHIA LENDING INVESTORS INC.,1125,Philippines,
"APPROVED LENDING INVESTOR, INC.",1044,Philippines,
APRICOTS LENDING CORPORATION,3204,Philippines,
AQUARIUS SAPHIRE LENDING INC.,866,Philippines,
AQUIBAL LENDING CORPORATION,1780,Philippines,
AQUIGAR CASH LENDING CORP.,1518,Philippines,
AQUILA LINQ LENDING CORPORATION,1457,Philippines,
AQUINO LOAN ASSISTANCE INC.,326,Philippines,
"AR HC LENDING INVESTOR, INC.",3009,Philippines,
ARANA LENDING CORP.,2503,Philippines,
"ARANAS-FELICIANO LENDING INVESTOR, INC.",346,Philippines,
ARANZAZU LENDING INVESTOR CORPORATION,064,Philippines,
ARCHIPELAGO GROUP LENDING CORPORATION,,Philippines,
ARCHVEST LENDING CORP.,1973,Philippines,
ARDENT LENDING INVESTOR CORPORATION,3331,Philippines,
"ARGEM LOANS, INC.",332,Philippines,
ARGENTUM CREDIT CORP.,L-22-0194-69,Philippines,
ARGO GLOBAL LENDING Corporation,3186,Philippines,
ARGO LENDING CORPORATION,561,Philippines,
ARGONAVIS CREDIT CORP.,1831,Philippines,
ARMAAN DHILLON'S LENDING AND TRADING CORP.,2289,Philippines,
ARMIJET LENDING CORPORATION,1915,Philippines,
Armorak Lending Inc.,2988,Philippines,
Artemis Lending Corporation,,Philippines,
ARVEST LENDING INVESTOR INC.,1490,Philippines,
ASCEND PHILS LENDING CORPORATION Doing business under the name/s and style/s of ASCEND LENDING,L-21-0015-23,Philippines,
ASEC LENDING INVESTOR CORPORATION,152,Philippines,
ASENSO-GABOS LENDING CORP.,2873,Philippines,
ASHMEEN AND PRABPREET LENDING INVESTOR AND TRADING CORP.,2452,Philippines,
ASHWANI & GROUP LENDING CORP.,1471,Philippines,
ASIAN BROTHERS FRIENDLY LENDING CORP.,2260,Philippines,
ASIAN LOAN LENDING HUB INC.,2103,Philippines,
ASIAN PENSION LOAN CORP.,1450,Philippines,
ASIANMINES CREDIT & LENDING CORP.,1217,Philippines,
"ASJ LENDING INVESTORS, INC.",440,Philippines,
"ASJE LENDING INVESTOR, INC.",1842,Philippines,
ASL GOLDEN CHI LENDING CORP.,1165,Philippines,
Asmeriaz Lending Corporation,3281,Philippines,
ASPI - ALALAY SA PROGRESO LENDING INC.,L-23-0441-84,Philippines,
ASPIRE CREDIT AND LENDING CORPORATION,3398,Philippines,
ASPIRE LENDING SERVICES INC.,2875,Philippines,
"ASSET LENDING INVESTOR, INC.",111,Philippines,
ASSIDIOUS LENDING CORP.,1961,Philippines,
Assistance for Central Luzon Lending Incorporated,3270,Philippines,
"ASTERIA LENDING, INC. DOING BUISNESS UNDER THE NAME AND STYLE OF CASHBAZAAR",1813,Philippines,
ATC LENDING CORPORATION,765,Philippines,
ATHERET LENDING CORPORATION,933,Philippines,
ATIENZA-RAZON LENDING CORPORATION,112,Philippines,
"ATIMONAN LENDING INVESTORS, INC.",928,Philippines,
ATM LENDING INVESTOR CORPORATION,2894,Philippines,
ATM METRO LENDING CORPORATION,566,Philippines,
ATM ONLINE LENDING CORP.,3065,Philippines,
ATMEH LENDING INC.,2146,Philippines,
ATOM LENDING CLUB CORP. doing business under the name and style of ANXIN LENDING,3180,Philippines,
ATTICA CREDIT AND LENDING CORPORATION,L-23-0506-15,Philippines,
"AUM FASTRACK CREDIT SOLUTIONS, INC.",1684,Philippines,
Aurelio Salapare Lending INc.,3254,Philippines,
AURORA PACIFIC LENDING CORPORATION,L-21-0064-47,Philippines,
AURUM CREDIT CORP.,3402,Philippines,
AUTO CREDIT LENDING INC.,L-21-0032-29,Philippines,
AUTOMATIC LENDING INVESTOR CORPORATION,750,Philippines,
AVA PRIME LENDING INC.,L-22-0295-66,Philippines,
AVABL SOLUTION LENDING CORP.,3267,Philippines,
AVIS LENDING CORPORATION,3396,Philippines,
AVITAJ MONEY LENDING CORP.,2417,Philippines,
"AVIVA CREDIT SERVICES, INC.",338,Philippines,
Awatar Lending Investor Corporation,2942,Philippines,
AYLISH-MANIK-NAMISH LENDING CORP.,2312,Philippines,
AYM START-UP LENDING CORPORATION,1794,Philippines,
AYTAAN LENDING AND TRADING INC.,2332,Philippines,
AZURE TRISTAR VENTURE CREDIT CORPORATION,1335,Philippines,
B AND C HELP HAND LENDING INVESTORS INC.,2002,Philippines,
B. TANYAG CREDIT CORPORATION,785,Philippines,
B.H.S.-M.J. LENDING & TRADING CORP.,914,Philippines,
B.M.G.H. LENDING INVESTOR AND CREDIT CORP.,2167,Philippines,
B.S.S.M.R. LIONS LENDING CORP,1661,Philippines,
B2MIcro LENDING CORPORATION,3231,Philippines,
BABA BALAK NATH JI LENDING INC.,3131,Philippines,
BABA BAWA KHAN LENDING CORPORATION,2849,Philippines,
BABA BISHAN SINGH LENDING INC.,2364,Philippines,
BABA BUDDA LENDING CORP.,1867,Philippines,
BABA CHARAN DAS LENDING & TRADING CORPORATION,1474,Philippines,
BABA FARID LENDING INC.,908,Philippines,
