name,registry_id,hq,extra
"GE Lightning Philippines, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
General Milling Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Global Business Holdings, Inc",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
GREPALIFE BALANCED FUND CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
GREPALIFE DOLLAR BOND FUND CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
GREPALIFE FIXED INCOME FUND CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Highlands Prime, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Holcim Philippines Manufacturing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Hunter Finance Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Infinite Investments and Finance Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Italia Country Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"J.M.D. Micro Finance Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Joint Entrepreneurship Management Financing Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Lakewood Golf & Country Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Legacy GS Fund, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Legacy HY Fund, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Leysaka Finance Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
LUCKY SHELL FINTECH LENDING INC.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Magdiwang Finance & Investment, Corp.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Malhi & Rai Financing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Mercator Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Monte De Piedad Finance Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
NJR Financing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Pacific Fund, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Pamana Island Resort Hotel and Marina Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Philand Property Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Pinoy Jenz Financing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Prime Peso Financing Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Primetown Property Group, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Princesa Holiday Resort Inc.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
QCASH FINANCE CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
RDH Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Real Development Company, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Republic Cement & Building Materials, Inc. (“Republic Cement”)",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
ROBOCASH FINANCE CORP.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Salvador Homes Financing Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
San Nicolas Teacher Credit & Finance Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Sarpanch Financing Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Singer Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
SM Development Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Splash Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Sta. Cruz Prime Star Financing Corp.,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"TAT Lakehill Golf & Country Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"The First Galleon Family Fund, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
THE GOLDEN LEGACY FINANCING CORPORATION,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Timberland Sports & Nature Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"TSM Credit Facilities Co., Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Ultragold Financing Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Unifinancial Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Villa Anna Paradise Resort & Farm, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Vista Mar Beach Resort & Country Club, Inc",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Waterworld Theme Park and Country Club, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
Weam Finance Corporation,,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
"Wise Holdings, Inc.",,Philippines,List of Revoked Certificates of Authority to Operate as a Financing Company (Secondary License)
UNIRAPID LENDING TECHNOLOGY INC. Order of Finality Order of Suspension,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
CGFD Order: 122 s.2020,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
163 LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
BARAKAT LENDING INVESTOR CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
BASIC RESOURCES MICRO-LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
BASSIL & HASS LENDING CORPORATION,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
BYMONEY LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
"DD CREDIT AND LENDIGN INVESTORS SERVICES, INC.",,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
DIAMONDSTAR LENDING & CREDIT CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
DRAGON ORAGIF LENDING CORP.,,Philippines,List of Suspended Certificates of Authority to Operate as a Lending Company (Secondary License)
